Date,Passengers
1950-09-30,136
1950-10-01,120
1950-10-02,120
1950-10-03,108
1950-10-04,114
1950-10-05,108
1950-10-06,118
1950-10-07,123
1950-10-08,121
1950-10-09,119
1950-10-10,111
1950-10-11,111
1950-10-12,121
1950-10-13,120
1950-10-14,114
1950-10-15,118
1950-10-16,121
1950-10-17,129
1950-10-18,115
1950-10-19,121
1950-10-20,107
1950-10-21,120
1950-10-22,127
1950-10-23,130
1950-10-24,125
1950-10-25,129
1950-10-26,120
1950-10-27,126
1950-10-28,120
1950-10-29,121
1950-10-30,112
1950-10-31,115
1950-11-01,97
1950-11-02,116
1950-11-03,120
1950-11-04,103
1950-11-05,108
1950-11-06,106
1950-11-07,110
1950-11-08,102
1950-11-09,102
1950-11-10,97
1950-11-11,105
1950-11-12,107
1950-11-13,107
1950-11-14,97
1950-11-15,96
1950-11-16,103
1950-11-17,100
1950-11-18,112
1950-11-19,102
1950-11-20,110
1950-11-21,93
1950-11-22,98
1950-11-23,101
1950-11-24,116
1950-11-25,107
1950-11-26,115
1950-11-27,104
1950-11-28,108
1950-11-29,102
1950-11-30,119
1950-12-01,104
1950-12-02,119
1950-12-03,118
1950-12-04,122
1950-12-05,112
1950-12-06,118
1950-12-07,121
1950-12-08,127
1950-12-09,113
1950-12-10,125
1950-12-11,114
1950-12-12,117
1950-12-13,112
1950-12-14,121
1950-12-15,126
1950-12-16,107
1950-12-17,126
1950-12-18,116
1950-12-19,109
1950-12-20,115
1950-12-21,119
1950-12-22,125
1950-12-23,123
1950-12-24,120
1950-12-25,126
1950-12-26,121
1950-12-27,120
1950-12-28,118
1950-12-29,119
1950-12-30,117
1950-12-31,118
1951-01-01,105
1951-01-02,98
1951-01-03,95
1951-01-04,112
1951-01-05,109
1951-01-06,106
1951-01-07,107
1951-01-08,88
1951-01-09,100
1951-01-10,98
1951-01-11,111
1951-01-12,109
1951-01-13,103
1951-01-14,115
1951-01-15,101
1951-01-16,117
1951-01-17,100
1951-01-18,104
1951-01-19,106
1951-01-20,122
1951-01-21,117
1951-01-22,114
1951-01-23,114
1951-01-24,103
1951-01-25,104
1951-01-26,103
1951-01-27,111
1951-01-28,103
1951-01-29,118
1951-01-30,107
1951-01-31,94
1951-02-01,102
1951-02-02,114
1951-02-03,105
1951-02-04,108
1951-02-05,103
1951-02-06,98
1951-02-07,99
1951-02-08,102
1951-02-09,115
1951-02-10,97
1951-02-11,113
1951-02-12,107
1951-02-13,105
1951-02-14,108
1951-02-15,105
1951-02-16,104
1951-02-17,107
1951-02-18,119
1951-02-19,110
1951-02-20,99
1951-02-21,103
1951-02-22,107
1951-02-23,101
1951-02-24,115
1951-02-25,107
1951-02-26,103
1951-02-27,117
1951-02-28,111
1951-03-01,123
1951-03-02,136
1951-03-03,129
1951-03-04,126
1951-03-05,121
1951-03-06,114
1951-03-07,118
1951-03-08,121
1951-03-09,125
1951-03-10,126
1951-03-11,127
1951-03-12,117
1951-03-13,113
1951-03-14,114
1951-03-15,126
1951-03-16,134
1951-03-17,121
1951-03-18,125
1951-03-19,133
1951-03-20,118
1951-03-21,108
1951-03-22,121
1951-03-23,136
1951-03-24,120
1951-03-25,126
1951-03-26,124
1951-03-27,119
1951-03-28,106
1951-03-29,124
1951-03-30,124
1951-03-31,129
1951-04-01,147
1951-04-02,126
1951-04-03,124
1951-04-04,108
1951-04-05,120
1951-04-06,117
1951-04-07,126
1951-04-08,139
1951-04-09,129
1951-04-10,128
1951-04-11,117
1951-04-12,125
1951-04-13,126
1951-04-14,121
1951-04-15,128
1951-04-16,113
1951-04-17,123
1951-04-18,125
1951-04-19,128
1951-04-20,123
1951-04-21,129
1951-04-22,115
1951-04-23,128
1951-04-24,121
1951-04-25,109
1951-04-26,120
1951-04-27,131
1951-04-28,132
1951-04-29,128
1951-04-30,113
1951-05-01,120
1951-05-02,110
1951-05-03,125
1951-05-04,140
1951-05-05,122
1951-05-06,121
1951-05-07,111
1951-05-08,112
1951-05-09,109
1951-05-10,123
1951-05-11,129
1951-05-12,130
1951-05-13,123
1951-05-14,128
1951-05-15,119
1951-05-16,119
1951-05-17,122
1951-05-18,138
1951-05-19,137
1951-05-20,117
1951-05-21,126
1951-05-22,121
1951-05-23,123
1951-05-24,130
1951-05-25,123
1951-05-26,122
1951-05-27,125
1951-05-28,118
1951-05-29,110
1951-05-30,125
1951-05-31,117
1951-06-01,161
1951-06-02,138
1951-06-03,149
1951-06-04,135
1951-06-05,133
1951-06-06,131
1951-06-07,138
1951-06-08,152
1951-06-09,142
1951-06-10,142
1951-06-11,148
1951-06-12,138
1951-06-13,142
1951-06-14,141
1951-06-15,148
1951-06-16,145
1951-06-17,139
1951-06-18,151
1951-06-19,128
1951-06-20,134
1951-06-21,152
1951-06-22,142
1951-06-23,146
1951-06-24,156
1951-06-25,146
1951-06-26,135
1951-06-27,136
1951-06-28,156
1951-06-29,149
1951-06-30,136
1951-07-01,163
1951-07-02,160
1951-07-03,162
1951-07-04,149
1951-07-05,162
1951-07-06,168
1951-07-07,162
1951-07-08,174
1951-07-09,170
1951-07-10,155
1951-07-11,139
1951-07-12,161
1951-07-13,172
1951-07-14,162
1951-07-15,177
1951-07-16,152
1951-07-17,153
1951-07-18,150
1951-07-19,165
1951-07-20,170
1951-07-21,161
1951-07-22,169
1951-07-23,161
1951-07-24,146
1951-07-25,151
1951-07-26,162
1951-07-27,170
1951-07-28,163
1951-07-29,172
1951-07-30,158
1951-07-31,144
1951-08-01,161
1951-08-02,172
1951-08-03,176
1951-08-04,172
1951-08-05,162
1951-08-06,171
1951-08-07,162
1951-08-08,171
1951-08-09,175
1951-08-10,181
1951-08-11,174
1951-08-12,162
1951-08-13,162
1951-08-14,159
1951-08-15,150
1951-08-16,161
1951-08-17,169
1951-08-18,161
1951-08-19,166
1951-08-20,174
1951-08-21,155
1951-08-22,163
1951-08-23,174
1951-08-24,179
1951-08-25,169
1951-08-26,177
1951-08-27,168
1951-08-28,152
1951-08-29,153
1951-08-30,171
1951-08-31,181
1951-09-01,153
1951-09-02,143
1951-09-03,143
1951-09-04,136
1951-09-05,141
1951-09-06,140
1951-09-07,149
1951-09-08,142
1951-09-09,141
1951-09-10,137
1951-09-11,152
1951-09-12,138
1951-09-13,148
1951-09-14,136
1951-09-15,139
1951-09-16,154
1951-09-17,145
1951-09-18,135
1951-09-19,133
1951-09-20,138
1951-09-21,151
1951-09-22,156
1951-09-23,150
1951-09-24,141
1951-09-25,141
1951-09-26,137
1951-09-27,144
1951-09-28,147
1951-09-29,148
1951-09-30,154
1951-10-01,130
1951-10-02,120
1951-10-03,110
1951-10-04,128
1951-10-05,110
1951-10-06,124
1951-10-07,130
1951-10-08,129
1951-10-09,113
1951-10-10,116
1951-10-11,127
1951-10-12,137
1951-10-13,126
1951-10-14,119
1951-10-15,130
1951-10-16,129
1951-10-17,116
1951-10-18,127
1951-10-19,124
1951-10-20,126
1951-10-21,133
1951-10-22,125
1951-10-23,124
1951-10-24,116
1951-10-25,126
1951-10-26,132
1951-10-27,117
1951-10-28,131
1951-10-29,123
1951-10-30,126
1951-10-31,112
1951-11-01,114
1951-11-02,123
1951-11-03,101
1951-11-04,112
1951-11-05,102
1951-11-06,101
1951-11-07,95
1951-11-08,113
1951-11-09,111
1951-11-10,111
1951-11-11,109
1951-11-12,118
1951-11-13,114
1951-11-14,115
1951-11-15,105
1951-11-16,112
1951-11-17,116
1951-11-18,120
1951-11-19,116
1951-11-20,114
1951-11-21,93
1951-11-22,117
1951-11-23,121
1951-11-24,119
1951-11-25,116
1951-11-26,119
1951-11-27,108
1951-11-28,103
1951-11-29,112
1951-11-30,120
1951-12-01,119
1951-12-02,125
1951-12-03,112
1951-12-04,118
1951-12-05,112
1951-12-06,126
1951-12-07,133
1951-12-08,127
1951-12-09,115
1951-12-10,136
1951-12-11,111
1951-12-12,122
1951-12-13,124
1951-12-14,147
1951-12-15,121
1951-12-16,128
1951-12-17,133
1951-12-18,124
1951-12-19,112
1951-12-20,130
1951-12-21,137
1951-12-22,132
1951-12-23,136
1951-12-24,133
1951-12-25,118
1951-12-26,126
1951-12-27,114
1951-12-28,137
1951-12-29,134
1951-12-30,126
1951-12-31,125
1952-01-01,120
1952-01-02,120
1952-01-03,115
1952-01-04,136
1952-01-05,108
1952-01-06,109
1952-01-07,130
1952-01-08,108
1952-01-09,102
1952-01-10,108
1952-01-11,134
1952-01-12,116
1952-01-13,111
1952-01-14,119
1952-01-15,104
1952-01-16,109
1952-01-17,125
1952-01-18,119
1952-01-19,119
1952-01-20,113
1952-01-21,118
1952-01-22,103
1952-01-23,110
1952-01-24,117
1952-01-25,124
1952-01-26,124
1952-01-27,127
1952-01-28,117
1952-01-29,111
1952-01-30,104
1952-01-31,114
1952-02-01,121
1952-02-02,113
1952-02-03,92
1952-02-04,110
1952-02-05,115
1952-02-06,105
1952-02-07,111
1952-02-08,117
1952-02-09,113
1952-02-10,108
1952-02-11,110
1952-02-12,106
1952-02-13,95
1952-02-14,124
1952-02-15,126
1952-02-16,103
1952-02-17,118
1952-02-18,103
1952-02-19,101
1952-02-20,102
1952-02-21,115
1952-02-22,109
1952-02-23,106
1952-02-24,114
1952-02-25,124
1952-02-26,115
1952-02-27,107
1952-02-28,120
1952-02-29,117
1952-03-01,116
1952-03-02,127
1952-03-03,129
1952-03-04,123
1952-03-05,129
1952-03-06,142
1952-03-07,141
1952-03-08,122
1952-03-09,140
1952-03-10,133
1952-03-11,130
1952-03-12,120
1952-03-13,144
1952-03-14,143
1952-03-15,137
1952-03-16,138
1952-03-17,126
1952-03-18,133
1952-03-19,123
1952-03-20,135
1952-03-21,133
1952-03-22,137
1952-03-23,130
1952-03-24,129
1952-03-25,127
1952-03-26,119
1952-03-27,128
1952-03-28,134
1952-03-29,138
1952-03-30,139
1952-03-31,137
1952-04-01,122
1952-04-02,126
1952-04-03,133
1952-04-04,138
1952-04-05,118
1952-04-06,125
1952-04-07,130
1952-04-08,126
1952-04-09,122
1952-04-10,136
1952-04-11,130
1952-04-12,116
1952-04-13,123
1952-04-14,134
1952-04-15,122
1952-04-16,121
1952-04-17,137
1952-04-18,137
1952-04-19,136
1952-04-20,127
1952-04-21,122
1952-04-22,117
1952-04-23,113
1952-04-24,134
1952-04-25,128
1952-04-26,135
1952-04-27,132
1952-04-28,134
1952-04-29,118
1952-04-30,136
1952-05-01,134
1952-05-02,140
1952-05-03,141
1952-05-04,137
1952-05-05,127
1952-05-06,133
1952-05-07,117
1952-05-08,131
1952-05-09,126
1952-05-10,128
1952-05-11,129
1952-05-12,134
1952-05-13,142
1952-05-14,121
1952-05-15,140
1952-05-16,138
1952-05-17,128
1952-05-18,135
1952-05-19,147
1952-05-20,116
1952-05-21,136
1952-05-22,133
1952-05-23,137
1952-05-24,134
1952-05-25,144
1952-05-26,139
1952-05-27,123
1952-05-28,123
1952-05-29,144
1952-05-30,141
1952-05-31,121
1952-06-01,147
1952-06-02,163
1952-06-03,149
1952-06-04,147
1952-06-05,152
1952-06-06,163
1952-06-07,153
1952-06-08,156
1952-06-09,143
1952-06-10,148
1952-06-11,145
1952-06-12,157
1952-06-13,162
1952-06-14,145
1952-06-15,150
1952-06-16,148
1952-06-17,147
1952-06-18,144
1952-06-19,146
1952-06-20,155
1952-06-21,154
1952-06-22,158
1952-06-23,154
1952-06-24,142
1952-06-25,136
1952-06-26,153
1952-06-27,163
1952-06-28,143
1952-06-29,159
1952-06-30,155
1952-07-01,165
1952-07-02,160
1952-07-03,163
1952-07-04,187
1952-07-05,170
1952-07-06,177
1952-07-07,171
1952-07-08,170
1952-07-09,161
1952-07-10,181
1952-07-11,188
1952-07-12,174
1952-07-13,175
1952-07-14,171
1952-07-15,154
1952-07-16,168
1952-07-17,177
1952-07-18,168
1952-07-19,179
1952-07-20,189
1952-07-21,185
1952-07-22,177
1952-07-23,178
1952-07-24,175
1952-07-25,181
1952-07-26,171
1952-07-27,180
1952-07-28,169
1952-07-29,172
1952-07-30,160
1952-07-31,161
1952-08-01,182
1952-08-02,170
1952-08-03,179
1952-08-04,167
1952-08-05,166
1952-08-06,154
1952-08-07,183
1952-08-08,183
1952-08-09,179
1952-08-10,170
1952-08-11,173
1952-08-12,172
1952-08-13,171
1952-08-14,173
1952-08-15,179
1952-08-16,169
1952-08-17,180
1952-08-18,176
1952-08-19,176
1952-08-20,158
1952-08-21,187
1952-08-22,176
1952-08-23,183
1952-08-24,168
1952-08-25,169
1952-08-26,180
1952-08-27,160
1952-08-28,177
1952-08-29,192
1952-08-30,187
1952-08-31,182
1952-09-01,149
1952-09-02,144
1952-09-03,130
1952-09-04,152
1952-09-05,160
1952-09-06,150
1952-09-07,150
1952-09-08,162
1952-09-09,139
1952-09-10,150
1952-09-11,147
1952-09-12,156
1952-09-13,166
1952-09-14,160
1952-09-15,157
1952-09-16,136
1952-09-17,131
1952-09-18,141
1952-09-19,157
1952-09-20,141
1952-09-21,167
1952-09-22,153
1952-09-23,143
1952-09-24,157
1952-09-25,152
1952-09-26,159
1952-09-27,151
1952-09-28,149
1952-09-29,141
1952-09-30,127
1952-10-01,131
1952-10-02,138
1952-10-03,138
1952-10-04,113
1952-10-05,139
1952-10-06,134
1952-10-07,122
1952-10-08,137
1952-10-09,136
1952-10-10,137
1952-10-11,146
1952-10-12,127
1952-10-13,135
1952-10-14,135
1952-10-15,138
1952-10-16,142
1952-10-17,129
1952-10-18,126
1952-10-19,129
1952-10-20,132
1952-10-21,125
1952-10-22,127
1952-10-23,138
1952-10-24,132
1952-10-25,127
1952-10-26,144
1952-10-27,133
1952-10-28,132
1952-10-29,118
1952-10-30,134
1952-10-31,133
1952-11-01,124
1952-11-02,128
1952-11-03,107
1952-11-04,112
1952-11-05,124
1952-11-06,111
1952-11-07,126
1952-11-08,120
1952-11-09,118
1952-11-10,117
1952-11-11,112
1952-11-12,121
1952-11-13,124
1952-11-14,115
1952-11-15,127
1952-11-16,117
1952-11-17,132
1952-11-18,108
1952-11-19,114
1952-11-20,121
1952-11-21,129
1952-11-22,109
1952-11-23,128
1952-11-24,112
1952-11-25,104
1952-11-26,113
1952-11-27,106
1952-11-28,123
1952-11-29,129
1952-11-30,121
1952-12-01,131
1952-12-02,125
1952-12-03,120
1952-12-04,141
1952-12-05,142
1952-12-06,141
1952-12-07,131
1952-12-08,136
1952-12-09,131
1952-12-10,140
1952-12-11,134
1952-12-12,137
1952-12-13,142
1952-12-14,140
1952-12-15,127
1952-12-16,123
1952-12-17,126
1952-12-18,137
1952-12-19,133
1952-12-20,137
1952-12-21,140
1952-12-22,136
1952-12-23,107
1952-12-24,131
1952-12-25,119
1952-12-26,136
1952-12-27,140
1952-12-28,132
1952-12-29,144
1952-12-30,126
1952-12-31,121
1953-01-01,120
1953-01-02,122
1953-01-03,119
1953-01-04,126
1953-01-05,120
1953-01-06,119
1953-01-07,109
1953-01-08,124
1953-01-09,134
1953-01-10,126
1953-01-11,135
1953-01-12,126
1953-01-13,125
1953-01-14,111
1953-01-15,124
1953-01-16,129
1953-01-17,117
1953-01-18,125
1953-01-19,121
1953-01-20,111
1953-01-21,118
1953-01-22,140
1953-01-23,136
1953-01-24,129
1953-01-25,124
1953-01-26,116
1953-01-27,130
1953-01-28,106
1953-01-29,128
1953-01-30,134
1953-01-31,123
1953-02-01,112
1953-02-02,124
1953-02-03,112
1953-02-04,100
1953-02-05,134
1953-02-06,127
1953-02-07,127
1953-02-08,136
1953-02-09,136
1953-02-10,114
1953-02-11,124
1953-02-12,128
1953-02-13,130
1953-02-14,115
1953-02-15,120
1953-02-16,122
1953-02-17,114
1953-02-18,121
1953-02-19,128
1953-02-20,134
1953-02-21,129
1953-02-22,130
1953-02-23,126
1953-02-24,112
1953-02-25,114
1953-02-26,133
1953-02-27,136
1953-02-28,117
1953-03-01,136
1953-03-02,139
1953-03-03,140
1953-03-04,121
1953-03-05,149
1953-03-06,143
1953-03-07,134
1953-03-08,149
1953-03-09,128
1953-03-10,129
1953-03-11,145
1953-03-12,153
1953-03-13,150
1953-03-14,141
1953-03-15,152
1953-03-16,128
1953-03-17,132
1953-03-18,130
1953-03-19,136
1953-03-20,143
1953-03-21,132
1953-03-22,158
1953-03-23,156
1953-03-24,129
1953-03-25,133
1953-03-26,146
1953-03-27,149
1953-03-28,145
1953-03-29,146
1953-03-30,125
1953-03-31,126
1953-04-01,121
1953-04-02,150
1953-04-03,159
1953-04-04,138
1953-04-05,151
1953-04-06,139
1953-04-07,127
1953-04-08,124
1953-04-09,130
1953-04-10,141
1953-04-11,140
1953-04-12,133
1953-04-13,146
1953-04-14,123
1953-04-15,124
1953-04-16,121
1953-04-17,134
1953-04-18,153
1953-04-19,139
1953-04-20,146
1953-04-21,134
1953-04-22,137
1953-04-23,135
1953-04-24,132
1953-04-25,144
1953-04-26,132
1953-04-27,132
1953-04-28,138
1953-04-29,139
1953-04-30,132
1953-05-01,150
1953-05-02,132
1953-05-03,146
1953-05-04,153
1953-05-05,138
1953-05-06,135
1953-05-07,140
1953-05-08,154
1953-05-09,137
1953-05-10,144
1953-05-11,148
1953-05-12,128
1953-05-13,147
1953-05-14,143
1953-05-15,156
1953-05-16,147
1953-05-17,144
1953-05-18,135
1953-05-19,136
1953-05-20,134
1953-05-21,145
1953-05-22,157
1953-05-23,137
1953-05-24,143
1953-05-25,147
1953-05-26,136
1953-05-27,133
1953-05-28,136
1953-05-29,147
1953-05-30,150
1953-05-31,143
1953-06-01,152
1953-06-02,159
1953-06-03,158
1953-06-04,165
1953-06-05,165
1953-06-06,160
1953-06-07,174
1953-06-08,141
1953-06-09,166
1953-06-10,162
1953-06-11,156
1953-06-12,166
1953-06-13,166
1953-06-14,162
1953-06-15,161
1953-06-16,154
1953-06-17,148
1953-06-18,179
1953-06-19,161
1953-06-20,162
1953-06-21,165
1953-06-22,162
1953-06-23,151
1953-06-24,150
1953-06-25,162
1953-06-26,157
1953-06-27,152
1953-06-28,165
1953-06-29,176
1953-06-30,159
1953-07-01,171
1953-07-02,190
1953-07-03,195
1953-07-04,190
1953-07-05,191
1953-07-06,181
1953-07-07,170
1953-07-08,170
1953-07-09,185
1953-07-10,198
1953-07-11,184
1953-07-12,191
1953-07-13,175
1953-07-14,160
1953-07-15,172
1953-07-16,179
1953-07-17,192
1953-07-18,191
1953-07-19,189
1953-07-20,183
1953-07-21,167
1953-07-22,159
1953-07-23,185
1953-07-24,198
1953-07-25,185
1953-07-26,186
1953-07-27,178
1953-07-28,170
1953-07-29,165
1953-07-30,180
1953-07-31,177
1953-08-01,181
1953-08-02,178
1953-08-03,186
1953-08-04,186
1953-08-05,177
1953-08-06,196
1953-08-07,203
1953-08-08,182
1953-08-09,179
1953-08-10,185
1953-08-11,180
1953-08-12,164
1953-08-13,178
1953-08-14,185
1953-08-15,192
1953-08-16,184
1953-08-17,182
1953-08-18,190
1953-08-19,168
1953-08-20,187
1953-08-21,188
1953-08-22,194
1953-08-23,193
1953-08-24,190
1953-08-25,185
1953-08-26,175
1953-08-27,175
1953-08-28,195
1953-08-29,184
1953-08-30,195
1953-08-31,185
1953-09-01,155
1953-09-02,151
1953-09-03,156
1953-09-04,188
1953-09-05,177
1953-09-06,174
1953-09-07,164
1953-09-08,150
1953-09-09,138
1953-09-10,152
1953-09-11,173
1953-09-12,159
1953-09-13,165
1953-09-14,155
1953-09-15,159
1953-09-16,165
1953-09-17,165
1953-09-18,176
1953-09-19,151
1953-09-20,175
1953-09-21,175
1953-09-22,155
1953-09-23,152
1953-09-24,167
1953-09-25,173
1953-09-26,159
1953-09-27,158
1953-09-28,151
1953-09-29,160
1953-09-30,173
1953-10-01,141
1953-10-02,150
1953-10-03,140
1953-10-04,129
1953-10-05,136
1953-10-06,119
1953-10-07,135
1953-10-08,146
1953-10-09,141
1953-10-10,131
1953-10-11,146
1953-10-12,137
1953-10-13,147
1953-10-14,137
1953-10-15,147
1953-10-16,150
1953-10-17,135
1953-10-18,139
1953-10-19,146
1953-10-20,131
1953-10-21,114
1953-10-22,141
1953-10-23,159
1953-10-24,143
1953-10-25,131
1953-10-26,144
1953-10-27,142
1953-10-28,141
1953-10-29,139
1953-10-30,134
1953-10-31,148
1953-11-01,112
1953-11-02,120
1953-11-03,115
1953-11-04,119
1953-11-05,138
1953-11-06,131
1953-11-07,122
1953-11-08,124
1953-11-09,139
1953-11-10,123
1953-11-11,118
1953-11-12,129
1953-11-13,125
1953-11-14,123
1953-11-15,134
1953-11-16,129
1953-11-17,124
1953-11-18,120
1953-11-19,137
1953-11-20,126
1953-11-21,121
1953-11-22,133
1953-11-23,128
1953-11-24,106
1953-11-25,118
1953-11-26,134
1953-11-27,143
1953-11-28,126
1953-11-29,128
1953-11-30,123
1953-12-01,134
1953-12-02,138
1953-12-03,146
1953-12-04,146
1953-12-05,153
1953-12-06,148
1953-12-07,133
1953-12-08,133
1953-12-09,142
1953-12-10,140
1953-12-11,137
1953-12-12,138
1953-12-13,124
1953-12-14,135
1953-12-15,149
1953-12-16,130
1953-12-17,144
1953-12-18,151
1953-12-19,140
1953-12-20,147
1953-12-21,128
1953-12-22,139
1953-12-23,140
1953-12-24,140
1953-12-25,149
1953-12-26,145
1953-12-27,143
1953-12-28,142
1953-12-29,131
1953-12-30,131
1953-12-31,140
1954-01-01,138
1954-01-02,133
1954-01-03,127
1954-01-04,139
1954-01-05,122
1954-01-06,134
1954-01-07,139
1954-01-08,146
1954-01-09,132
1954-01-10,136
1954-01-11,142
1954-01-12,123
1954-01-13,127
1954-01-14,140
1954-01-15,139
1954-01-16,137
1954-01-17,128
1954-01-18,130
1954-01-19,125
1954-01-20,118
1954-01-21,136
1954-01-22,134
1954-01-23,130
1954-01-24,133
1954-01-25,136
1954-01-26,115
1954-01-27,131
1954-01-28,125
1954-01-29,136
1954-01-30,127
1954-01-31,141
1954-02-01,120
1954-02-02,112
1954-02-03,122
1954-02-04,125
1954-02-05,139
1954-02-06,133
1954-02-07,131
1954-02-08,139
1954-02-09,123
1954-02-10,111
1954-02-11,115
1954-02-12,126
1954-02-13,116
1954-02-14,140
1954-02-15,117
1954-02-16,126
1954-02-17,118
1954-02-18,124
1954-02-19,138
1954-02-20,122
1954-02-21,126
1954-02-22,136
1954-02-23,107
1954-02-24,115
1954-02-25,134
1954-02-26,145
1954-02-27,125
1954-02-28,130
1954-03-01,149
1954-03-02,149
1954-03-03,152
1954-03-04,142
1954-03-05,150
1954-03-06,144
1954-03-07,149
1954-03-08,152
1954-03-09,132
1954-03-10,138
1954-03-11,157
1954-03-12,158
1954-03-13,147
1954-03-14,149
1954-03-15,156
1954-03-16,144
1954-03-17,141
1954-03-18,140
1954-03-19,150
1954-03-20,155
1954-03-21,155
1954-03-22,147
1954-03-23,132
1954-03-24,138
1954-03-25,161
1954-03-26,146
1954-03-27,146
1954-03-28,157
1954-03-29,149
1954-03-30,127
1954-03-31,149
1954-04-01,146
1954-04-02,155
